iter	Logloss
0	0.6930998952
1	0.6920219591
2	0.6906620957
3	0.6898026335
4	0.6895447506
5	0.6891018503
6	0.6890688272
7	0.6885027081
8	0.6877835908
9	0.6872138159
10	0.6856141633
11	0.6855661307
12	0.6848135125
13	0.6847929719
14	0.6826864552
15	0.6822348178
16	0.6814086763
17	0.6812203816
18	0.6805699478
19	0.6798961216
20	0.6776418809
21	0.6764703748
22	0.6763085378
23	0.6759213047
24	0.6742840814
25	0.6739284409
26	0.6733839557
27	0.6717115282
28	0.670904102
29	0.6694006637
30	0.6693133724
31	0.6681134111
32	0.6676470144
33	0.6667877621
34	0.6662667153
35	0.6659469147
36	0.6655664652
37	0.6655146142
38	0.6651072995
39	0.664940793
40	0.6639935362
41	0.6629270856
42	0.6622774717
43	0.6621442306
44	0.6621418221
45	0.6619308702
46	0.6614230149
47	0.6608970832
48	0.6606970984
49	0.6606931492
50	0.6593210452
51	0.6593105498
52	0.6590500295
53	0.6589576431
54	0.6585925275
55	0.6583031769
56	0.6579752054
57	0.657668852
58	0.6566904333
59	0.656352302
60	0.6563515132
61	0.6553638399
62	0.6547890438
63	0.6545433489
64	0.6540778302
65	0.6540463228
66	0.6538653132
67	0.653069067
68	0.6521215044
69	0.6519704111
70	0.6519286468
71	0.6519032827
72	0.6504573141
73	0.6497626088
74	0.6497342159
75	0.6490897529
76	0.648304393
77	0.6477483006
78	0.6477437823
79	0.6463168382
80	0.6460557727
81	0.6451850469
82	0.6447514463
83	0.6445132016
84	0.6445131296
85	0.6429923011
86	0.6428409726
87	0.6427790429
88	0.641632796
89	0.6415541031
90	0.6415540804
91	0.6413628216
92	0.6403295625
93	0.6399005335
94	0.6397996319
95	0.6396041539
96	0.6393945496
97	0.6388006932
98	0.6385181606
99	0.6384289996
100	0.63841517
101	0.638355963
102	0.6381643307
103	0.6379890412
104	0.6376124646
105	0.6372257447
106	0.6357638953
107	0.634931346
108	0.6342592009
109	0.6337452293
110	0.6326455071
111	0.6325641478
112	0.6324021707
113	0.6318789613
114	0.6313459177
115	0.6299827771
116	0.629864031
117	0.6296297247
118	0.6295633496
119	0.6286232905
120	0.6276972186
121	0.6271972103
122	0.6271972102
123	0.6257014602
124	0.6248088739
125	0.6238643492
126	0.6234758384
127	0.6228729388
128	0.6226222627
129	0.6213234569
130	0.6204899029
131	0.6204708927
132	0.6197007246
133	0.6197007245
134	0.6192771558
135	0.6184957595
136	0.6167220913
137	0.6166313502
138	0.6164281472
139	0.6164195116
140	0.6155853033
141	0.6155523125
142	0.6154017305
143	0.615331664
144	0.6148001122
145	0.6145526559
146	0.6138692551
147	0.6129004793
148	0.6120060235
149	0.6113920291
150	0.6104614959
151	0.6104614956
152	0.6104614952
153	0.610008808
154	0.608484603
155	0.6073783775
