iter	Passed	Remaining
0	0	466
1	1	583
2	1	616
3	2	633
4	3	612
5	3	605
6	4	567
7	4	576
8	5	660
9	6	663
10	7	654
11	7	632
12	8	640
13	8	619
14	9	628
15	10	622
16	10	625
17	11	621
18	12	620
19	12	616
20	13	615
21	13	607
22	14	597
23	14	588
24	15	592
25	15	593
26	16	589
27	17	597
28	17	599
29	18	601
30	19	594
31	19	598
32	20	591
33	20	593
34	21	602
35	22	598
36	22	592
37	23	585
38	23	585
39	24	584
40	24	583
41	25	588
42	26	587
43	26	583
44	27	575
45	27	569
46	28	569
47	28	570
48	29	566
49	29	562
50	30	561
51	30	556
52	30	552
53	31	548
54	31	549
55	32	550
56	33	548
57	33	548
58	34	552
59	35	550
60	35	545
61	36	547
62	36	547
63	37	547
64	37	545
65	38	541
66	38	538
67	39	540
68	40	541
69	40	539
70	41	536
71	41	533
72	42	535
73	42	536
74	43	533
75	44	534
76	44	535
77	45	539
78	45	535
79	46	534
80	47	535
81	47	535
82	48	534
83	49	535
84	49	531
85	50	533
86	50	533
87	51	530
88	52	532
89	52	530
90	52	526
91	53	526
92	53	526
93	54	525
94	54	523
95	55	523
96	56	525
97	57	525
98	57	524
99	58	523
100	58	520
101	58	518
102	59	517
103	59	516
104	60	514
105	60	513
106	61	513
107	62	513
108	62	513
109	63	513
110	64	512
111	64	510
112	64	509
113	65	510
114	66	511
115	67	512
116	67	512
117	68	510
118	68	508
119	69	509
120	69	507
121	70	506
122	70	503
123	71	504
124	72	505
125	72	505
126	74	509
127	74	509
128	75	508
129	75	508
130	76	507
131	76	505
132	77	504
133	77	502
134	78	502
135	78	501
136	79	501
137	80	499
138	80	499
139	80	497
140	81	496
141	81	494
142	82	493
143	82	492
144	83	492
145	84	492
146	85	493
147	85	493
148	86	493
149	86	492
150	87	493
151	88	491
152	88	488
153	89	489
154	89	489
155	90	489
156	90	488
157	91	487
158	92	488
159	93	489
160	93	488
161	94	487
162	94	485
163	95	484
164	95	483
165	96	483
166	96	482
167	97	482
168	97	481
169	98	482
170	99	482
171	100	481
172	100	480
173	100	479
174	101	478
175	101	476
176	102	475
177	102	474
178	103	474
179	103	472
180	104	472
181	104	471
182	105	471
183	106	471
184	106	470
185	107	469
186	108	470
187	108	469
188	109	469
189	109	468
190	110	468
191	111	468
192	111	467
193	112	465
194	112	464
195	113	464
196	113	463
197	114	463
198	114	462
199	115	462
200	116	461
201	116	460
202	117	460
203	117	459
204	118	459
205	119	459
206	119	459
207	120	458
208	121	458
209	121	457
210	122	458
211	123	457
212	123	457
213	124	457
214	124	455
215	125	455
216	126	455
217	126	454
218	127	453
219	127	453
220	128	453
221	129	453
222	130	453
223	130	452
224	131	452
225	132	452
226	132	452
227	133	451
228	134	451
229	134	451
230	135	451
231	136	451
232	137	451
233	137	451
234	138	450
235	139	450
236	139	450
237	140	450
238	141	449
239	141	448
240	142	448
241	142	447
242	143	447
243	144	447
244	144	445
245	145	445
246	146	446
247	147	446
248	147	445
249	148	445
250	148	444
251	149	444
252	150	443
253	150	443
254	151	442
255	152	442
256	152	442
257	153	441
258	154	441
259	155	441
260	155	441
261	156	440
262	157	440
263	157	440
264	158	439
265	159	439
266	159	438
267	160	438
268	161	437
269	161	437
270	162	438
271	163	437
272	164	437
273	164	436
274	165	436
275	166	436
276	167	436
277	167	435
278	168	435
279	169	435
280	169	434
281	170	433
282	170	433
283	172	434
284	172	433
285	173	433
286	174	432
287	174	432
288	175	431
289	176	433
290	177	432
291	178	432
292	179	432
293	179	432
294	180	432
295	181	431
296	182	431
297	183	431
298	183	431
299	184	430
300	185	430
301	186	430
302	186	429
303	187	429
304	188	428
305	188	428
306	189	427
307	190	427
308	191	427
309	191	427
310	192	426
311	193	426
312	194	426
313	194	425
314	195	425
315	196	424
316	196	424
317	197	423
318	198	422
319	198	422
320	199	421
321	199	420
322	200	420
323	201	420
324	202	419
325	202	419
326	203	419
327	204	418
328	205	418
329	205	418
330	206	418
331	207	417
332	208	417
333	208	416
334	209	416
335	210	415
336	211	415
337	211	414
338	212	414
339	213	413
340	213	413
341	214	413
342	215	412
343	216	412
344	217	412
345	218	412
346	219	412
347	219	411
348	220	411
349	221	411
350	222	410
351	222	409
352	223	409
353	224	409
354	224	408
355	225	408
356	226	407
357	227	407
358	227	406
359	228	406
360	228	405
361	229	404
362	230	404
363	231	403
364	231	403
365	232	402
366	232	401
367	233	401
368	234	400
369	234	400
370	235	399
371	236	399
372	237	398
373	237	398
374	238	397
375	239	396
376	239	396
377	240	395
378	241	394
379	241	394
380	242	394
381	243	393
382	244	393
383	244	392
384	245	392
385	246	391
386	246	390
387	247	390
388	248	389
389	248	389
390	249	388
391	250	387
392	250	387
393	251	386
394	252	386
395	252	385
396	253	385
397	254	385
398	255	384
399	256	384
400	256	383
401	257	382
402	258	382
403	258	381
404	259	381
405	260	380
406	260	380
407	261	379
408	262	378
409	262	378
410	263	377
411	264	377
412	264	376
413	265	375
414	266	375
415	266	374
416	267	374
417	268	373
418	269	373
419	270	373
420	270	372
421	271	371
422	272	371
423	272	370
424	273	369
425	274	369
426	274	368
427	275	368
428	276	367
429	277	367
430	277	366
431	278	366
432	279	365
433	279	364
434	280	364
435	281	363
436	282	363
437	282	362
438	283	362
439	284	361
440	284	361
441	285	360
442	286	360
443	287	359
444	287	358
445	288	358
446	289	357
447	289	357
448	290	356
449	291	355
450	291	355
451	292	354
452	293	353
453	293	353
454	294	352
455	295	352
456	296	351
457	296	351
458	297	350
459	297	349
460	298	349
461	299	348
